system:index,LST_Celsius,data,.geo
2010_01_12,31.73155277697008,2010-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_13,34.85938983050851,2010-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_15,38.845256950294896,2010-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,40.452601330913524,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_22,35.11586071328281,2010-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,33.316313422347186,2010-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,36.369227745015486,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_28,30.48539855585449,2010-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,33.7099719180006,2010-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_04,38.19518393709635,2010-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,39.86493119910141,2010-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_12,28.99432047477747,2010-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_13,31.38168836140891,2010-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,31.152462962962993,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,36.67763549564731,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_19,29.921177242888447,2010-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_20,31.315984088550717,2010-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,33.90846953103064,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_23,35.84368997472623,2010-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_25,40.93000000000001,2010-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_27,37.26144022134851,2010-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_28,38.00021061499582,2010-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_01,34.36762707104749,2010-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_02,39.931870261162636,2010-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_03,36.203917438921685,2010-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_04,41.64878404942436,2010-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,41.12400449311994,2010-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_07,37.66188430216234,2010-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_08,37.51900086880978,2010-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_09,41.728169053636655,2010-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_10,36.475122156697594,2010-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_11,42.46819432743614,2010-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_13,42.7389469250211,2010-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,30.690000000000055,2010-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_15,39.550628628061766,2010-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_16,38.88614434147714,2010-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_18,39.34675471698118,2010-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_20,37.32485404754743,2010-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_24,33.67904886236482,2010-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_25,34.945685483871,2010-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_29,36.276192080876186,2010-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_31,34.81153520208606,2010-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_01,34.880887391182284,2010-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_02,30.6752494061758,2010-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_05,41.92224375175515,2010-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,40.01000000000005,2010-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_10,30.603309481216492,2010-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_14,31.16522325189556,2010-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,29.775495647290118,2010-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_19,28.96240101095202,2010-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_20,28.245167087896682,2010-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,28.835399328859086,2010-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_24,29.5873967986521,2010-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_25,27.02374102195776,2010-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_26,28.87633700696059,2010-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_28,27.203955555555567,2010-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_30,33.19666105026681,2010-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_01,30.354258274231718,2010-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_02,33.23480202190399,2010-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_03,28.630000000000052,2010-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_05,30.78117663577651,2010-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_07,34.642825049143525,2010-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
