system:index,LST_Celsius,data,.geo
2010_01_01,33.044208006589244,2010-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_02,23.312962962963006,2010-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_06,31.34601314129618,2010-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_12,29.606241817249437,2010-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_13,31.693851056725844,2010-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_15,34.55718584227472,2010-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,35.00874225650879,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_19,29.33619475290895,2010-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_21,28.394218325720445,2010-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_22,30.560829975619182,2010-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,30.557903499663272,2010-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,32.988348900899375,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_26,30.421446226213405,2010-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_27,26.55439024390246,2010-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_28,29.290002821429187,2010-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_29,25.269328642437568,2010-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,30.772269463669236,2010-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_31,28.878308026030414,2010-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,29.293456184788504,2010-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_04,34.76862498368451,2010-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,36.35827315204131,2010-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_07,37.97288656962379,2010-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_12,29.30007942552495,2010-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_13,29.31464289210552,2010-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,31.178963796622853,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,34.41941071009736,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_19,29.30050413148913,2010-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_20,31.30284359854927,2010-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_21,26.238825216495435,2010-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,31.109571095103774,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_23,31.24338150068772,2010-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_25,34.063033389562115,2010-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_26,36.4398682634731,2010-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_27,34.03870111829296,2010-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_28,34.43943498738068,2010-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
