system:index,LST_Celsius,data,.geo
2000_02_26,27.836052598605935,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_27,24.091694915254266,2000-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,27.1797348256132,2000-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_01,25.90304992981755,2000-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_02,18.98274153890659,2000-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_04,22.352892468267264,2000-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,23.800645724907074,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,28.441863775284002,2000-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,28.953263227125007,2000-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,31.497158460776493,2000-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,29.413910707740673,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,30.79309314945112,2000-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,34.20332849460196,2000-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_20,25.927606558550828,2000-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,28.239519030983665,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_22,31.730246388970272,2000-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,29.844134696074395,2000-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,26.67540647198104,2000-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,27.311331536388195,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_31,29.45948407735934,2000-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_02,29.59022346919224,2000-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_03,26.130854222802913,2000-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,33.84024139321946,2000-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,30.068750618185,2000-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,26.009422060938455,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,32.55582256034364,2000-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,29.16714072034629,2000-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_11,29.419229198278448,2000-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,25.012457571140434,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,28.49553263874127,2000-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,25.15268721081712,2000-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_19,19.086296342685383,2000-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_20,26.964652368720397,2000-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_21,24.81039803743709,2000-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,28.065684325008707,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_23,29.071250192297832,2000-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_24,27.005715767236435,2000-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_29,26.548745245827625,2000-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,25.562388839473826,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_02,28.205641480955354,2000-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
