system:index,LST_Celsius,data,.geo
2010_01_01,32.157922595332984,2010-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_12,31.235257495096693,2010-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_13,34.44385042455914,2010-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_15,37.843228545436176,2010-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,39.023796430794796,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_22,34.119632063074896,2010-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,32.41124432699493,2010-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,35.54419589608814,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_26,32.76277430865301,2010-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_28,30.392974607013315,2010-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,33.13108056201358,2010-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,32.370000000000005,2010-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_04,37.809694733650076,2010-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,39.37397048418077,2010-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_12,28.979233769501786,2010-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_13,30.523828059950077,2010-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,30.52830975654181,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,36.00450419488531,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_19,30.102204965872026,2010-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_20,31.51334750265677,2010-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,33.38338710593583,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_23,34.98504849412968,2010-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_25,40.8688271990019,2010-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
