system:index,has_data,has_time,mean_LST,timestamp,.geo
2000_06_30,30.649778107506624,9.623232E11,30.649778107506624,9.623232E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_02,27.292748091603098,9.62496E11,27.292748091603098,9.62496E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_07,30.533762836872093,9.62928E11,30.533762836872093,9.62928E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_16,29.95530137498444,9.637056E11,29.95530137498444,9.637056E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_17,29.513752831064778,9.63792E11,29.513752831064778,9.63792E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_18,32.42325908072917,9.638784E11,32.42325908072917,9.638784E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_23,28.31130612244901,9.643104E11,28.31130612244901,9.643104E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_24,31.66470104265921,9.643968E11,31.66470104265921,9.643968E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_25,33.94004694101083,9.644832E11,33.94004694101083,9.644832E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_04,32.948159057670004,9.653472E11,32.948159057670004,9.653472E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_19,33.23000000000002,9.666432E11,33.23000000000002,9.666432E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_20,32.41470211186427,9.667296E11,32.41470211186427,9.667296E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_22,35.50002559934786,9.669024E11,35.50002559934786,9.669024E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_23,30.50417523153843,9.669888E11,30.50417523153843,9.669888E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_24,36.6402652120103,9.670752E11,36.6402652120103,9.670752E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_26,36.07455375186752,9.67248E11,36.07455375186752,9.67248E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_27,36.5486150604751,9.673344E11,36.5486150604751,9.673344E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,32.69443024740519,9.674208E11,32.69443024740519,9.674208E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_29,38.76375545285979,9.675072E11,38.76375545285979,9.675072E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_31,36.631624344984345,9.6768E11,36.631624344984345,9.6768E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_02,37.95831129019514,9.678528E11,37.95831129019514,9.678528E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_03,34.64934448807079,9.679392E11,34.64934448807079,9.679392E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_04,36.56168284493191,9.680256E11,36.56168284493191,9.680256E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_05,32.48384615384619,9.68112E11,32.48384615384619,9.68112E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_11,34.085208167938674,9.686304E11,34.085208167938674,9.686304E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_12,36.50880873042321,9.687168E11,36.50880873042321,9.687168E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,34.21575318053567,9.688032E11,34.21575318053567,9.688032E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_14,32.300000000000026,9.688896E11,32.300000000000026,9.688896E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_16,33.60250745459477,9.690624E11,33.60250745459477,9.690624E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_20,32.99000000000003,9.69408E11,32.99000000000003,9.69408E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_21,36.36208508514508,9.694944E11,36.36208508514508,9.694944E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_23,36.74703243526031,9.696672E11,36.74703243526031,9.696672E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_24,31.39833691616182,9.697536E11,31.39833691616182,9.697536E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_25,39.8379848120491,9.6984E11,39.8379848120491,9.6984E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_26,34.471520356686135,9.699264E11,34.471520356686135,9.699264E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,33.3519214112419,9.701856E11,33.3519214112419,9.701856E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_01,33.951087886991196,9.703584E11,33.951087886991196,9.703584E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_02,42.505628993894085,9.704448E11,42.505628993894085,9.704448E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_04,43.50100528465427,9.706176E11,43.50100528465427,9.706176E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_05,38.42695511676468,9.70704E11,38.42695511676468,9.70704E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_06,39.06402274959968,9.707904E11,39.06402274959968,9.707904E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_07,39.75304147174305,9.708768E11,39.75304147174305,9.708768E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_08,33.82317504079998,9.709632E11,33.82317504079998,9.709632E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_10,31.190125673249543,9.71136E11,31.190125673249543,9.71136E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_11,39.55281197282636,9.712224E11,39.55281197282636,9.712224E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_13,39.294285888523014,9.713952E11,39.294285888523014,9.713952E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
