system:index,LST_Celsius,data,.geo
2010_01_12,32.29748743718596,2010-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_15,39.59716080402012,2010-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,41.06624260355033,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_22,35.79824120603018,2010-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,36.60919597989954,2010-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,36.778743718593,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_28,30.412964824120643,2010-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,33.97894472361811,2010-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_04,37.78020100502516,2010-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,39.91557788944726,2010-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_12,29.03000000000003,2010-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_13,32.25206030150755,2010-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,31.53733668341711,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,37.38135678391962,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_20,32.0458441558442,2010-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,34.26005025125632,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_23,36.7452261306533,2010-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_27,37.96445471349356,2010-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_28,38.4661557788945,2010-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_01,34.88376884422116,2010-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_02,40.12351758793974,2010-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_03,36.302537688442236,2010-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_04,42.11050251256284,2010-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,41.43288944723621,2010-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_07,37.50783919597993,2010-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_08,38.195208333333376,2010-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
