system:index,LST_Celsius,data,.geo
2000_02_26,27.901965326201218,2000-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_27,24.091694915254266,2000-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,26.583028576042455,2000-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_01,26.423000000000023,2000-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_02,20.09948884089276,2000-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_04,23.361939232011956,2000-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,24.03654676258995,2000-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,27.93653979685638,2000-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,28.890607500252706,2000-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,31.28808360569207,2000-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,28.885666250553722,2000-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,30.89921223760915,2000-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,34.292990329862896,2000-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_20,25.612030685920626,2000-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,28.36875225742906,2000-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_22,31.966259307928222,2000-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,29.8560257811369,2000-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,27.42209628088369,2000-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_29,26.587565836574385,2000-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_31,27.72601720472637,2000-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_02,29.642542166628957,2000-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_03,26.461493257493427,2000-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,34.52063243370734,2000-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,30.49457565831459,2000-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,25.21381221104163,2000-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,32.77977863605971,2000-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,29.527850170012112,2000-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_11,30.509417828736726,2000-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,24.986365788265996,2000-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,28.286067622813526,2000-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,25.703250153405623,2000-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_20,27.12609370539005,2000-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_21,24.756832980558656,2000-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,28.323396003908517,2000-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_23,29.350680847578634,2000-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_24,27.33229769646327,2000-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_29,25.830248714250754,2000-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_30,26.302124652253635,2000-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_02,28.207484512940106,2000-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_04,24.816099590304507,2000-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_05,22.07220323768842,2000-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_07,23.259307030854853,2000-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_10,22.875290349679744,2000-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_15,30.030895919673913,2000-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_16,24.651666666666713,2000-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_18,26.828561093469578,2000-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_20,31.39469119579507,2000-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_21,23.428132916340907,2000-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_22,26.25658208833379,2000-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,26.66261265641394,2000-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_25,28.276711992734263,2000-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_26,26.659433315038445,2000-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_27,33.99395341262625,2000-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_30,33.44692821292075,2000-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_31,31.638628567879543,2000-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_02,31.442597571796032,2000-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_03,33.248119096555406,2000-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_05,27.609194055444437,2000-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,21.63318367346944,2000-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_10,24.395502822395056,2000-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_14,27.193595414351414,2000-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_15,21.806394088669975,2000-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_17,26.885905946713695,2000-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_20,28.330723337605036,2000-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_21,32.013548300144876,2000-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_22,30.51381369543001,2000-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_23,29.223961427821926,2000-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_24,30.057006060742385,2000-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,30.896844457921997,2000-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_28,25.995419718559987,2000-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_30,31.00101059110263,2000-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_02,24.14618560380728,2000-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_05,21.6505874840358,2000-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_06,22.910943245403704,2000-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_07,30.790998571010473,2000-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_09,22.402631578947375,2000-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_14,27.280064582795184,2000-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_16,28.313918065564835,2000-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
