Data Medicao,TX,LST_Celsius
2000-02-26,30.6,29.580848076383074
2000-02-27,30.4,23.410498812351573
2000-02-28,30.4,29.40794720584109
2000-03-08,30.4,28.29174706649286
2000-03-11,32.0,31.53455490030894
2000-03-12,31.6,34.16772816624546
2000-03-13,31.8,32.374038743762874
2000-03-15,31.2,35.30197135636061
2000-03-17,32.2,38.61645885987084
2000-03-21,30.2,28.881038156947472
2000-03-22,30.6,35.20612187587759
2000-03-24,30.8,31.819945629443776
2000-03-27,32.2,30.205680950360673
2000-04-02,31.2,32.14447224749776
2000-04-03,32.0,26.873077930582884
2000-04-04,31.8,37.70054479078914
2000-04-05,32.0,33.86340634653191
2000-04-07,32.0,33.44870988550236
2000-04-09,31.4,27.950000000000045
2000-04-11,31.0,34.82744647105475
2000-04-16,31.2,29.174612244897983
2000-04-18,28.2,27.259553478712395
2000-04-20,30.2,29.99574907958089
2000-04-21,29.6,24.981215492377448
2000-04-22,30.2,30.491822521763588
2000-04-23,29.6,31.86940466161194
2000-04-24,30.2,29.21864925582704
2000-04-30,30.0,29.864973404255352
2000-05-02,30.2,29.249114315139064
2000-05-04,28.2,24.556583268178308
2000-05-05,30.4,22.230000000000015
2000-05-10,31.4,25.968780721353372
2000-05-15,29.9,32.34582420668355
2000-05-16,27.6,24.711007512152044
2000-05-18,28.4,26.538162150808688
2000-05-20,31.0,32.57592530188151
2000-05-22,28.2,28.813747696088495
2000-05-24,29.2,25.58348678601881
2000-05-25,29.4,27.95925613188584
2000-05-26,30.6,26.83000000000004
2000-05-27,32.0,35.97831227183379
2000-05-30,32.2,34.702886829542294
2000-05-31,31.2,34.2368444948922
2000-06-02,31.4,32.94921089581581
2000-06-03,30.4,35.037868576242666
2000-06-14,28.8,27.19100306098426
2000-06-17,29.2,28.369764111204756
2000-06-21,31.0,34.95243751755128
2000-06-22,31.2,31.408191519236208
2000-06-23,29.2,31.429092147072204
2000-06-24,28.8,31.689418702611658
2000-06-25,28.4,32.65592811008147
2000-06-30,29.4,33.111918000561666
2000-07-07,28.2,31.11610783487788
2000-07-16,30.0,28.978854573885886
2000-07-17,31.8,29.68468407750636
2000-07-18,29.6,32.500769446784645
2000-07-19,29.2,27.283990448901644
2000-07-20,27.6,30.003466257668737
2000-07-23,28.6,27.523117959617466
2000-07-24,32.4,32.35355237292899
2000-07-25,29.0,32.443910761154875
2000-08-04,31.9,34.56188991856223
2000-08-19,29.0,29.85889296187688
2000-08-20,29.6,32.586215981470794
2000-08-21,29.0,26.417874015748072
2000-08-22,30.0,36.9317663577647
2000-08-24,30.0,38.033336141533304
2000-08-26,29.2,37.89083965178324
2000-08-27,30.6,38.139960685200805
2000-08-28,30.0,34.59404942431905
2000-08-29,33.0,40.4398315080034
2000-08-31,30.2,38.73294299354118
2000-09-02,30.0,39.28156416736874
2000-09-03,31.0,36.02794158944121
